"StudentNumber","StudentName","email","password"
"18850936","YK MASEKELA","18850936@mylife.unisa.ac.za",
"18878393","QF SABUNI","18878393@mylife.unisa.ac.za",
"18895040","RI MUGARIRI","18895040@mylife.unisa.ac.za",
"18907969","WD NCUBE","18907969@mylife.unisa.ac.za",
"18929287","NZ TEFFO","18929287@mylife.unisa.ac.za",
"18932032","GC MAOELA","18932032@mylife.unisa.ac.za",
"18947295","LI MANKGANE","18947295@mylife.unisa.ac.za",
"18960506","WD MACHAKA","18960506@mylife.unisa.ac.za",
"18968652","UJ REPPOH","18968652@mylife.unisa.ac.za",
"18986232","NG NASON","18986232@mylife.unisa.ac.za",
"18989177","ZC MLONYENI","18989177@mylife.unisa.ac.za",
"19005287","RW MAKAMU","19005287@mylife.unisa.ac.za",
"19006611","NW RAMUGUMO","19006611@mylife.unisa.ac.za",
"19019313","PP MORUDU","19019313@mylife.unisa.ac.za",
"19029492","HG MBENGO","19029492@mylife.unisa.ac.za",
"19051116","ZW MOILA","19051116@mylife.unisa.ac.za",
"19051739","NB NDOU","19051739@mylife.unisa.ac.za",
"19052248","RI CLOETE","19052248@mylife.unisa.ac.za",
"19098909","VL MACHABA","19098909@mylife.unisa.ac.za",
"19103539","RZ THEMBU","19103539@mylife.unisa.ac.za",
"19117973","TX CARLS","19117973@mylife.unisa.ac.za",
"19128622","QP BHAGWANDIN","19128622@mylife.unisa.ac.za",
"19178151","JM PHASHE","19178151@mylife.unisa.ac.za",
"19204164","LX KARIM","19204164@mylife.unisa.ac.za",
"19263315","YP MOHULATSI","19263315@mylife.unisa.ac.za",
"19267635","CB TYANIBEZWE","19267635@mylife.unisa.ac.za",
"19281956","MH NEDZAMBA","19281956@mylife.unisa.ac.za",
"19285574","RG MASHILE","19285574@mylife.unisa.ac.za",
"19287526","NS MAGURI","19287526@mylife.unisa.ac.za",
"19299697","NU NEMUDIVHISO","19299697@mylife.unisa.ac.za",
"19310538","ID NTUMELANG","19310538@mylife.unisa.ac.za",
"19323763","BM SPRINGTHORPE","19323763@mylife.unisa.ac.za",
"19325206","QY MOHLALA","19325206@mylife.unisa.ac.za",
"19335964","MH BAPELA","19335964@mylife.unisa.ac.za",
"19338112","VT KABE","19338112@mylife.unisa.ac.za",
"19386002","YI CHIKATA","19386002@mylife.unisa.ac.za",
"19413886","SZ TISANI","19413886@mylife.unisa.ac.za",
"19435587","AZ MHLONGO","19435587@mylife.unisa.ac.za",
"19457727","TX SAMBO","19457727@mylife.unisa.ac.za",
"19476564","XS TSHABANGU","19476564@mylife.unisa.ac.za",
"19477167","NS KAPU","19477167@mylife.unisa.ac.za",
"19506222","BA MOLUBI","19506222@mylife.unisa.ac.za",
"19555445","HV BOTHA","19555445@mylife.unisa.ac.za",
"19579838","F  VAN DER WALT","19579838@mylife.unisa.ac.za",
"19590474","PC KOTE","19590474@mylife.unisa.ac.za",
"19601561","BX HAYWOOD","19601561@mylife.unisa.ac.za",
"19611190","SG DARWIN","19611190@mylife.unisa.ac.za",
"19617619","EA HLONGWANE","19617619@mylife.unisa.ac.za",
"19621909","YY MPHUTHI","19621909@mylife.unisa.ac.za",
"19632508","HQ MAZIBUKO","19632508@mylife.unisa.ac.za",
"19670075","ZQ MODIMOKOANE","19670075@mylife.unisa.ac.za",
"19677631","IY NXUMALO","19677631@mylife.unisa.ac.za",
"19697310","PQ DREYER","19697310@mylife.unisa.ac.za",
"19699246","IC KHAN","19699246@mylife.unisa.ac.za",
"19705379","NX MFEKA","19705379@mylife.unisa.ac.za",
"19742603","UF MOKINA","19742603@mylife.unisa.ac.za",
"19780056","HM MOLETSANE","19780056@mylife.unisa.ac.za",
"19800873","IU LEDWABA","19800873@mylife.unisa.ac.za",
"19807582","OW BOPOTO","19807582@mylife.unisa.ac.za",
"19807961","AR PAMHIRWA","19807961@mylife.unisa.ac.za",
"19817910","FN NYAMA","19817910@mylife.unisa.ac.za",
"19839834","KQ MARENENE-MKETO","19839834@mylife.unisa.ac.za",
"19849873","TX KAYAYALO MUKANGA MVOULA","19849873@mylife.unisa.ac.za",
"19854774","OL DELUBOM","19854774@mylife.unisa.ac.za",
"19873181","GG KOTU","19873181@mylife.unisa.ac.za",
"19884440","IE ABRAHAMS","19884440@mylife.unisa.ac.za",
"19907026","N  ABRAHAMS","19907026@mylife.unisa.ac.za",
"19913248","ZC ABRAHAMS","19913248@mylife.unisa.ac.za",
"19916842","OX ADEKOLA","19916842@mylife.unisa.ac.za",
"19965570","BO ADONIS","19965570@mylife.unisa.ac.za",
"19993535","MT AINSLIE","19993535@mylife.unisa.ac.za",
"20001162","AJ AKOOB","20001162@mylife.unisa.ac.za",
"20030374","OX ALBERTSE","20030374@mylife.unisa.ac.za",
"20039049","U  ALEXANDER","20039049@mylife.unisa.ac.za",
"20073084","DF AMOD","20073084@mylife.unisa.ac.za",
"20118045","CZ AMOD","20118045@mylife.unisa.ac.za",
"20141564","MO ANTHONY","20141564@mylife.unisa.ac.za",
"20191308","QN APHANE","20191308@mylife.unisa.ac.za",
"20221158","BX APHANE","20221158@mylife.unisa.ac.za",
"20227361","PA APPELS","20227361@mylife.unisa.ac.za",
"20229872","QF ASSEGAI","20229872@mylife.unisa.ac.za",
"20236674","FE ATUKWA","20236674@mylife.unisa.ac.za",
"20237336","JU AUGUSTYN","20237336@mylife.unisa.ac.za",
"20270487","VH BADENHORST","20270487@mylife.unisa.ac.za",
"20302511","CC BADENHORST","20302511@mylife.unisa.ac.za",
"20313326","AI BADERDIEN","20313326@mylife.unisa.ac.za",
"20315604","ET BADULA","20315604@mylife.unisa.ac.za",
"20327854","XO BAILEY","20327854@mylife.unisa.ac.za",
"20356540","PH BAIPONE","20356540@mylife.unisa.ac.za",
"20361756","BJ BAKEBERG","20361756@mylife.unisa.ac.za",
"20369416","EA BAKWA","20369416@mylife.unisa.ac.za",
"20411887","WS BALGOBIN","20411887@mylife.unisa.ac.za",
